date	checks	seas_checks
2015-03-01	1719727	1570153.892
2015-04-01	1443847	1538476.779
2015-05-01	1299279	1604786.33
2015-06-01	1276825	1587658.333
2015-07-01	1369444	1638888.433
2015-08-01	1449448	1614512.95
2015-09-01	1524050	1638486.588
2015-10-01	1693086	1624466.04
2015-11-01	1940566	1689412.788
2015-12-01	2999375	2168126.872
2016-01-01	2237763	2226022.082
2016-02-01	2337754	2058922.747
2016-03-01	2187747	1984784.301
2016-04-01	1829695	1973611.182
2016-05-01	1539033	1987536.388
2016-06-01	1763041	2165287.456
